grade_A_Component_1,grade_A_Component_2,max_luminosity,thickness,xmin,xmax,ymin,ymax,pixel_area,log_area,x_component_1,x_component_2,x_component_3,x_component_4,x_component_5,class
1,0,132,58,937,947,598741,598200,170,170.76026387715058,0,0,0,0,0,1
0,1,177,36,955,963,495017,494192,118,118.1092055734667,0,0,1,0,0,1
0,1,92,144,769,788,45890,45059,225,225.7567813472366,0,0,0,0,0,2
1,0,137,56,967,976,2689234,2690030,246,246.00276910872628,0,0,0,0,0,1
0,1,146,38,47,189,114459,114800,4163,4163.934246061625,0,0,1,0,0,1
0,1,130,39,39,220,1601670,1601737,6720,6720.24051413332,0,0,1,0,0,1
0,1,145,40,298,308,12724454,12724887,420,420.84931469472866,1,0,0,0,0,1
1,0,152,58,283,297,2947397,2946154,225,225.07394832272348,0,0,0,0,0,1
0,1,152,45,621,650,2017932,2016852,189,189.80151447683227,0,0,0,0,0,2
1,0,126,65,764,780,2069176,2069519,429,429.674335838161,0,0,0,0,0,1
1,0,157,96,916,928,3596574,3598352,254,254.00504065324043,0,0,0,0,0,1
1,0,149,148,1276,1304,883508,883585,201,201.65379041781708,0,0,0,0,0,2
1,0,116,74,92,117,2797034,2798395,286,286.2798458910414,0,0,0,0,0,2
0,1,156,35,3,223,500921,499614,22095,22095.944069583584,0,0,1,0,0,1
0,1,153,48,1215,1224,1962284,1961588,62,62.8230058465111,0,0,0,1,0,1
0,1,96,298,264,271,89444,88125,298,298.6269870967511,0,0,0,0,0,2
0,1,149,41,39,200,1431188,1430206,14156,14156.576240872237,0,0,1,0,0,1
0,1,135,66,450,588,1019584,1019533,1306,1306.4447740972391,0,0,0,0,0,2
1,0,147,85,232,258,1594202,1593390,392,392.34053817333285,0,0,0,0,0,1
1,0,148,72,984,997,1802293,1801810,330,330.6627844423122,0,0,0,0,0,1
0,1,142,43,1330,1335,2062274,2063629,103,103.95680125460791,0,0,0,0,0,1
0,1,118,173,1304,1344,33879,33801,571,571.6557864925502,0,0,0,0,0,2
0,1,127,49,7,229,29624,29070,16085,16085.579429663578,0,0,1,0,0,1
0,1,140,45,43,214,1291379,1292814,12145,12145.46071258855,0,0,1,0,0,1
0,1,137,67,12,27,305155,304132,557,557.3654327941623,1,0,0,0,0,1
0,1,122,95,309,321,574402,573678,334,334.3923278724307,0,0,0,0,0,1
0,1,150,45,1326,1334,1599193,1599003,236,236.62901392272568,0,0,0,0,1,1
0,1,138,42,797,810,2294845,2294627,288,288.15624151974,0,0,0,0,0,1
0,1,102,203,38,98,59743,59363,3284,3284.4317770282546,0,0,0,0,0,2
1,0,125,72,58,75,2343730,2343923,1003,1003.9040177503828,0,0,0,0,0,2
0,1,139,39,139,170,422135,421711,612,612.4119641157791,0,0,0,0,0,2
1,0,158,80,195,229,921579,921983,1010,1010.7720111290579,0,0,0,0,0,1
1,0,132,90,1234,1248,2094005,2094009,299,299.0323393715902,0,0,0,0,0,1
1,0,120,65,35,44,450941,451984,222,222.25465999564233,0,1,0,0,0,1
1,0,152,62,369,380,484476,484829,367,367.06432522816993,0,0,0,0,0,1
1,0,113,76,1056,1082,4364114,4363651,133,133.87246796116534,0,0,0,0,0,1
1,0,115,74,1641,1670,1607324,1607042,741,741.6137347236453,0,0,0,0,0,2
0,1,131,115,181,197,1280366,1280383,391,391.24076117877644,1,0,0,0,0,1
0,1,151,69,2,35,570919,570183,3398,3398.297247377811,0,0,0,0,0,2
0,1,158,219,113,156,311128,310530,2385,2385.4584018213272,0,0,0,0,0,2
0,1,121,179,1110,1118,1170828,1169316,317,317.56903458817584,0,1,0,0,0,1
0,1,140,37,42,220,1751381,1750182,6709,6709.529795582627,0,0,1,0,0,1
0,1,122,38,15,34,1060461,1060818,232,232.2796153463596,0,0,0,0,0,2
0,1,118,44,1032,1062,68032,68559,934,934.0706461705144,0,0,0,0,0,2
0,1,146,97,625,636,2056363,2055870,740,740.2828407203402,0,0,0,0,1,1
1,0,127,83,1471,1482,1144636,1143962,425,425.78685241367,0,0,0,0,0,1
1,0,159,74,210,230,1066477,1066911,288,288.12889689195305,0,0,0,0,0,2
0,1,140,45,965,976,656906,658120,498,498.2137943098259,0,0,0,0,0,2
0,1,148,44,1304,1312,2370044,2368644,170,170.957342296625,0,0,0,0,1,1
0,1,143,37,8,224,334209,333761,21243,21243.43375454503,0,0,1,0,0,1
0,1,126,41,45,213,2120116,2120070,6311,6311.8534115184575,0,0,1,0,0,1
1,0,126,65,873,883,4048478,4047912,296,296.3772212977005,0,0,0,0,0,1
1,0,119,74,138,154,1732769,1733775,329,329.0471630790923,0,0,0,0,0,2
1,0,139,68,166,174,303434,302202,94,94.08730602691124,0,1,0,0,0,1
0,1,120,41,38,52,132458,133194,917,917.1093838326799,1,0,0,0,0,1
0,1,129,43,1333,1334,1683863,1682406,279,279.3348190708118,0,0,0,0,1,1
1,0,114,74,41,48,1508938,1508168,367,367.71307209563145,0,1,0,0,0,1
1,0,136,84,1071,1093,2994044,2994327,133,133.5002725982836,0,0,0,0,0,1
1,0,131,68,108,118,2311145,2312244,111,111.27616675803296,0,0,0,0,0,2
0,1,178,95,114,123,103463,104064,220,220.20890099081723,0,0,0,0,0,2
1,0,127,75,1045,1061,4019638,4019890,308,308.5034175116878,0,0,0,0,0,1
1,0,138,72,770,777,4158058,4157756,403,403.7094401167669,1,0,0,0,0,1
0,1,127,173,1202,1210,1247003,1245811,568,568.0335250506492,0,1,0,0,0,1
0,1,156,43,41,188,1935253,1934753,9711,9711.381963201606,0,0,1,0,0,1
0,1,125,43,52,175,248708,250567,3660,3660.4040854167724,0,0,1,0,0,1
0,1,113,104,1344,1354,106662,105700,116,116.68427588517689,1,0,0,0,0,1
1,0,143,64,206,229,1095031,1093358,218,218.8432549338634,0,0,0,0,0,2
0,1,156,43,123,147,204090,204096,357,357.6044230514218,0,0,0,0,0,2
0,1,137,71,220,233,3094170,3093810,347,347.94271132690346,0,0,0,0,0,2
0,1,143,43,43,193,1438045,1436920,12416,12416.08055522387,0,0,1,0,0,1
0,1,125,44,14,33,1023542,1025130,341,341.731713596746,0,0,0,0,0,2
0,1,146,45,110,194,1541478,1540999,1885,1885.1576125278798,0,0,1,0,0,1
1,0,107,74,16,27,2857299,2857888,322,322.81595229044717,0,1,0,0,0,1
0,1,161,43,44,192,1565445,1565268,13120,13120.275896355191,0,0,1,0,0,1
1,0,146,55,515,525,3406012,3405980,171,171.5863257349976,0,0,0,0,0,1
1,0,126,69,197,207,81799,82236,210,210.184028571886,0,1,0,0,0,1
1,0,137,70,56,70,1712675,1714105,299,299.8052011857451,0,1,0,0,0,1
0,1,131,44,658,663,1465754,1464746,148,148.4437777293166,0,0,0,0,0,2
0,1,177,201,1009,1013,53842,53214,315,315.8062148157243,0,0,0,0,0,2
1,0,109,97,1606,1612,1193826,1195423,329,329.5652989995029,1,0,0,0,0,1
0,1,140,99,621,626,2224749,2224640,342,342.5654073866647,0,0,0,0,1,1
0,1,140,41,362,392,2839154,2839763,1299,1299.7327299812105,0,0,0,0,0,1
0,1,140,38,44,214,2052875,2052354,6598,6598.543103556807,0,0,1,0,0,1
1,0,131,67,142,159,1093523,1093873,221,221.7691000846986,0,1,0,0,0,1
0,1,134,199,46,52,86882,86044,242,242.89814900916437,1,0,0,0,0,1
0,1,128,41,90,212,7275785,7276617,4289,4289.449943640994,0,0,1,0,0,1
0,1,161,41,248,276,244484,244169,311,311.30293870891296,0,0,0,0,0,2
0,1,137,35,1141,1153,4083172,4083255,419,419.3357705247019,0,0,0,0,0,2
1,0,109,79,1613,1621,1671415,1671148,94,94.61921812384139,0,0,0,0,0,2
0,1,148,45,566,569,889061,888357,105,105.25594983213387,0,0,0,1,0,1
0,1,155,70,783,805,1046097,1046636,432,432.2204009529404,0,0,0,0,0,2
0,1,105,44,844,856,7527,7453,260,260.8691954055342,0,0,0,0,0,2
0,1,132,41,39,220,1658401,1658554,6853,6853.767608157742,0,0,1,0,0,1
0,1,122,39,45,221,2984853,2986379,7080,7080.207379771569,0,0,1,0,0,1
0,1,154,42,42,194,1853573,1854043,11093,11093.319025379162,0,0,1,0,0,1
0,1,118,182,1274,1283,167115,167043,495,495.03715250609997,0,0,0,0,0,2
1,0,140,68,1544,1566,1312798,1312121,51,51.55146919992625,0,0,0,0,0,2
0,1,144,47,780,787,1292996,1292413,182,182.05902508191105,0,0,0,1,0,1
0,1,157,44,1114,1128,4349604,4349479,248,248.4089726105232,0,0,0,0,0,1
0,1,140,90,13,23,1743172,1742353,248,248.6347990454462,1,0,0,0,0,1
1,0,99,70,13,22,204227,204967,234,234.8770835748201,0,1,0,0,0,1
1,0,174,72,18,41,2133565,2133026,263,263.4614039239653,0,0,0,0,0,2
1,0,157,66,1428,1456,5898889,5897422,285,285.89666840571533,0,0,0,0,1,1
0,1,112,216,116,137,114480,115786,687,687.0243876930132,0,0,0,0,0,2
0,1,161,65,894,946,2008561,2008084,488,488.6512112285753,0,0,0,0,0,2
0,1,163,35,1,231,307555,309667,25613,25613.804611271884,0,0,1,0,0,1
1,0,117,67,1635,1659,2987928,2987046,1258,1258.1747027776278,0,0,0,0,0,1
0,1,138,36,1333,1333,1508163,1509233,85,85.98172161980672,0,0,0,0,0,2
0,1,145,41,62,182,238360,239553,3473,3473.183698647167,0,0,1,0,0,1
1,0,141,81,560,595,275063,274940,591,591.6405567894536,0,0,0,0,0,1
1,0,150,69,1302,1311,1439723,1439295,300,300.62800546994794,0,0,0,0,0,1
1,0,147,145,969,978,1218518,1219560,348,348.74958616882907,0,0,0,0,0,1
0,1,158,40,43,220,1149484,1150815,17137,17137.05898718253,0,0,1,0,0,1
0,1,152,98,621,636,2095227,2096330,1110,1110.8899025476655,0,0,0,0,1,1
1,0,129,73,1289,1293,1715409,1715320,266,266.3081784060109,0,0,0,0,0,1
1,0,132,63,41,49,1134416,1135850,95,95.11490080972047,0,0,0,0,0,2
0,1,135,205,840,853,231928,231031,271,271.85749657530465,0,0,0,0,0,1
0,1,122,75,1164,1178,465815,465790,266,266.9040318182242,0,0,0,0,0,1
0,1,217,45,144,153,236183,236660,320,320.8251266686859,0,0,1,0,0,1
0,1,132,37,42,217,2422015,2422133,5751,5751.583566559512,0,0,1,0,0,1
0,1,139,44,13,874,140519,139688,15326,15326.185402531759,0,0,1,0,0,1
0,1,159,38,1024,1035,720741,720598,354,354.48037020426773,0,0,0,0,0,2
0,1,128,53,1293,1306,3627151,3626690,163,163.5698714430613,0,0,0,0,0,1
0,1,137,43,166,172,2891386,2891247,205,205.17811239240436,1,0,0,0,0,1
1,0,117,72,29,36,2457724,2458099,410,410.5670986022116,0,1,0,0,0,1
0,1,142,69,1181,1210,360064,360587,1603,1603.6943356216766,0,0,0,0,0,2
0,1,152,199,73,89,273140,272358,327,327.6100444236985,0,0,0,0,0,2
0,1,117,297,239,273,182713,182478,800,800.3345472185596,0,0,0,0,0,2
1,0,141,97,1272,1288,1953894,1954954,239,239.14221114837883,0,0,0,0,0,1
0,1,158,57,1193,1204,141432,142585,257,257.7312202874517,0,0,0,0,0,2
1,0,142,74,128,148,874989,874533,663,663.5373256905998,0,1,0,0,0,1
1,0,144,80,764,775,1518556,1519641,151,151.35328670887543,0,0,0,0,0,2
0,1,157,40,367,425,290376,289784,575,575.3697515543678,0,0,0,0,0,2
0,1,164,54,599,609,1645916,1646146,165,165.62234286142797,0,0,0,1,0,1
1,0,142,72,1113,1122,2817234,2818572,170,170.25785104563343,0,0,0,0,0,2
1,0,172,65,18,26,1619692,1620144,335,335.795070489566,1,0,0,0,0,1
0,1,136,179,1226,1236,88910,87105,109,109.74506689931133,0,0,0,0,0,1
0,1,128,52,572,581,1163228,1162918,93,93.22850621039116,0,0,0,1,0,1
0,1,135,44,42,220,2839690,2840099,6647,6647.862742922777,0,0,1,0,0,1
1,0,149,64,205,226,920191,921939,107,107.31062292003708,0,0,0,0,0,1
0,1,101,90,1687,1700,150295,150693,293,293.9716957452075,1,0,0,0,0,1
0,1,118,50,682,692,564831,563895,257,257.37170632319004,0,0,0,0,0,1
1,0,145,74,38,53,50522,50092,493,493.3203895140528,0,1,0,0,0,1
1,0,144,66,82,94,1146121,1146716,259,259.5108398459921,0,0,0,0,0,2
1,0,128,77,1351,1365,663026,662971,168,168.06877850502576,0,0,0,0,0,1
0,1,178,105,104,117,207204,209102,249,249.04911971957327,0,0,0,0,0,2
1,0,151,69,4,29,1359033,1359426,190,190.1864979533836,0,0,0,0,0,2
0,1,125,40,654,667,11149597,11150879,389,389.1158735721274,0,0,0,0,0,1
0,1,111,299,257,275,232113,231708,459,459.9647360237982,0,0,0,0,0,2
0,1,121,36,1003,1025,28802,29835,179,179.13493867067479,0,0,0,0,0,2
1,0,135,303,376,389,429052,427514,81,81.87474014037544,0,0,0,0,0,2
1,0,109,203,1282,1294,396558,396603,264,264.5238490382584,0,0,0,0,0,2
0,1,128,41,46,218,1668842,1669476,6639,6639.405622764665,0,0,1,0,0,1
1,0,212,67,1509,1554,1791773,1791443,113,113.13447183805212,0,0,0,0,0,2
1,0,103,74,1677,1691,1847041,1847143,284,284.73623224285154,0,0,0,0,0,2
0,1,209,205,101,112,108197,107804,141,141.5548610785647,0,0,0,0,0,2
0,1,145,40,817,843,66712,65446,1714,1714.806535634999,1,0,0,0,0,1
0,1,137,45,42,222,2001809,2002056,7154,7154.508821519731,0,0,1,0,0,1
1,0,135,85,367,400,3866734,3866272,925,925.9442178488733,0,0,0,0,0,2
1,0,121,71,993,1003,1972681,1973949,307,307.43271013497815,0,0,0,0,0,1
0,1,138,146,87,92,844294,845109,429,429.7584656274617,1,0,0,0,0,1
1,0,122,71,21,34,2836456,2837622,394,394.5607842366516,0,1,0,0,0,1
1,0,142,102,216,230,9495736,9496174,94,94.90412495923282,0,0,0,0,0,2
0,1,157,41,1254,1280,2371209,2370896,468,468.8988092957221,0,0,0,0,0,2
1,0,174,70,14,23,1460987,1461959,531,531.360602621109,1,0,0,0,0,1
1,0,108,83,1539,1561,626122,625150,498,498.34407635142793,0,0,0,0,0,1
0,1,153,53,757,765,1110262,1111198,253,253.33845492588944,0,0,0,1,0,1
0,1,125,35,88,219,7324824,7326213,4527,4527.458537337992,0,0,1,0,0,1
0,1,148,42,1327,1334,1433021,1431824,283,283.34495395013016,0,0,0,0,0,2
0,1,137,45,1363,1380,822016,820846,184,184.57977861849736,0,0,0,0,0,2
0,1,137,299,1579,1596,178189,178244,294,294.69343184584983,0,0,0,0,0,2
0,1,130,69,894,910,3263932,3265089,544,544.1744915512737,0,0,0,0,0,2
1,0,133,67,1133,1145,643015,644155,143,143.70604045215202,0,0,0,0,0,1
1,0,129,69,514,529,1261040,1260523,298,298.00642203266614,0,0,0,0,0,2
0,1,132,36,40,218,2662728,2662616,6793,6793.194604671889,0,0,1,0,0,1
0,1,144,38,860,872,531532,531291,88,88.33034345380885,0,0,0,0,0,2
1,0,116,73,42,60,1940576,1939557,209,209.89236245594563,0,1,0,0,0,1
0,1,137,43,305,341,903736,903977,1231,1231.5738482870388,0,0,0,0,0,2
1,0,131,97,1246,1268,1349788,1349987,403,403.150807032276,0,0,0,0,0,1
0,1,135,40,923,929,1862942,1863356,120,120.46585534853287,0,0,0,0,0,1
1,0,141,70,109,121,1159878,1159597,133,133.25177340039824,0,1,0,0,0,1
1,0,115,57,1560,1576,1659074,1658748,263,263.0429402001705,0,0,0,0,0,1
1,0,118,85,1105,1133,2241187,2241216,346,346.8879641795557,0,0,0,0,0,2
0,1,146,39,40,212,861772,862456,17440,17440.21917905485,0,0,1,0,0,1
1,0,135,67,450,524,1699713,1699522,929,929.6695560809918,0,1,0,0,0,1
0,1,131,45,42,212,1462898,1462882,6511,6511.055862691191,0,0,1,0,0,1
0,1,209,35,734,752,177957,176709,376,376.5863308843318,0,0,1,0,0,1
1,0,126,74,87,101,1399768,1398117,291,291.07414175387737,0,1,0,0,0,1
0,1,128,38,450,552,2212208,2211677,374,374.1221903649947,0,0,0,0,0,2
1,0,126,56,28,38,2090886,2090124,223,223.1047018016939,0,0,0,0,0,1
0,1,230,42,572,586,155325,155651,362,362.6531001850282,0,0,1,0,0,1
1,0,128,71,160,172,320030,318809,308,308.80027282117794,0,1,0,0,0,1
0,1,127,44,1093,1132,2311139,2311905,363,363.1488220869474,0,0,0,0,0,2
1,0,136,68,231,249,790180,790499,1169,1169.7148058185528,0,1,0,0,0,1
1,0,159,85,559,576,1976018,1975753,98,98.85679566599497,0,0,0,0,0,1
1,0,136,72,1203,1220,75930,76051,255,255.68223939350526,0,0,0,0,0,1
1,0,135,75,109,120,2127278,2126902,348,348.1069219037463,0,1,0,0,0,1
0,1,127,41,45,219,2275771,2276735,6592,6592.936171498791,0,0,1,0,0,1
1,0,139,145,375,389,518852,520108,415,415.4565502223096,1,0,0,0,0,1
1,0,127,68,1073,1091,432569,433913,355,355.33695740112404,0,0,0,0,0,1
0,1,121,45,829,841,127908,129190,868,868.0224904363496,0,0,0,0,1,1
0,1,133,40,193,194,1729548,1728731,3,3.445292526452882,0,0,1,0,0,1
0,1,137,297,1587,1603,211767,210477,388,388.65670097432246,0,0,0,0,0,2
0,1,146,100,618,624,2163403,2164116,332,332.36589208714713,0,0,0,0,1,1
1,0,120,79,696,714,1445861,1445573,211,211.24050673869894,0,0,0,0,0,1
0,1,147,44,45,193,2214718,2215637,4956,4956.101924273293,0,0,1,0,0,1
0,1,133,203,48,63,323144,323211,325,325.2467436643707,0,0,0,0,0,2
1,0,131,72,1412,1424,1164943,1165188,232,232.60771649783067,0,0,0,0,0,1
1,0,106,102,824,832,176738,177502,276,276.2121693709893,0,0,0,0,0,2
0,1,145,44,46,196,1541675,1540956,12273,12273.727278339707,0,0,1,0,0,1
0,1,176,95,112,119,90236,91321,413,413.73862943181393,0,0,0,0,0,2
1,0,149,72,8,23,22197,20551,290,290.0183350491634,0,1,0,0,0,1
1,0,130,100,1003,1028,154526,154643,135,135.37381441297285,0,0,0,1,0,1
1,0,145,71,463,537,1082309,1082191,7758,7758.929502813077,0,1,0,0,0,1
1,0,91,77,1608,1613,1996042,1995015,353,353.6544577034044,0,0,0,0,0,2
0,1,139,35,646,744,942524,943206,720,720.4493774497645,0,0,0,0,0,2
1,0,138,67,178,188,1835113,1835871,207,207.79960815024765,0,1,0,0,0,1
1,0,114,69,24,33,2811888,2811931,334,334.123024075131,0,1,0,0,0,1
1,0,137,97,707,728,1715198,1715139,622,622.5268143064789,0,0,0,0,0,2
1,0,123,50,701,745,1504004,1503585,249,249.63126562212693,0,0,0,0,0,1
1,0,156,124,782,805,1688587,1689059,4864,4864.145308205755,0,0,0,0,0,2
0,1,144,37,482,492,2101278,2101212,273,273.50367998887236,0,0,0,0,0,1
0,1,159,44,46,223,1018800,1019741,16245,16245.038808326413,0,0,1,0,0,1
1,0,134,73,57,81,1809495,1810433,129,129.13497040944043,0,1,0,0,0,1
0,1,134,39,51,182,378422,378174,4177,4177.165151232528,0,0,1,0,0,1
1,0,120,96,1504,1513,894075,893920,239,239.55595412705995,1,0,0,0,0,1
1,0,94,147,1677,1686,570443,569651,86,86.38303358468984,0,0,0,0,0,2
0,1,124,36,1326,1331,1484047,1485084,111,111.27809639135374,0,0,0,0,0,2
0,1,138,44,897,907,727650,725713,107,107.07539482827758,0,0,0,0,0,1
1,0,136,55,532,545,3580570,3582196,292,292.1652857391199,0,0,0,0,0,1
1,0,151,98,300,307,854302,854047,291,291.4342802071973,0,0,0,0,0,2
1,0,126,196,68,82,3859977,3858873,367,367.03202338688254,0,0,0,0,0,1
0,1,151,50,691,696,1480631,1482113,66,66.17783042917934,0,0,0,1,0,1
0,1,144,43,1329,1333,1737210,1737553,138,138.93171661401195,0,0,0,0,1,1
0,1,127,40,500,529,3889333,3888651,1226,1226.1289854865074,0,0,0,0,0,1
0,1,111,42,1373,1380,980951,980507,343,343.03619283278846,0,0,0,0,0,2
0,1,129,183,76,79,472565,471999,464,464.31453748677023,0,0,0,0,0,2
0,1,151,44,43,189,46890,47161,5882,5882.647765384677,0,0,1,0,0,1
0,1,142,41,23,27,1710123,1708995,313,313.58165145677873,0,0,0,0,0,1
0,1,135,43,41,210,4384295,4384658,5636,5636.632288316882,0,0,1,0,0,1
1,0,95,75,5,20,2445331,2445473,319,319.4901683315498,0,1,0,0,0,1
1,0,131,83,1271,1286,572415,571290,415,415.7366260205105,0,0,0,0,0,1
0,1,141,39,314,322,10392471,10390972,138,138.04015590103944,0,0,0,0,0,1
0,1,160,37,44,218,1039118,1039639,15081,15081.538648041744,0,0,1,0,0,1
1,0,125,58,1531,1544,1758580,1758358,213,213.19550545541574,0,0,0,0,0,1
1,0,154,101,1551,1581,2071041,2070787,281,281.15774041143544,0,0,0,0,0,2
0,1,137,46,301,312,1693100,1693500,197,197.94024206620645,0,0,0,1,0,1
0,1,144,49,957,963,1261128,1261434,224,224.0778706734615,0,0,0,1,0,1
1,0,118,69,13,22,2294395,2293970,189,189.29631889323014,0,1,0,0,0,1
1,0,125,73,282,306,2109223,2110189,150,150.95688529711225,0,1,0,0,0,1
0,1,218,44,1063,1071,116916,116806,295,295.6580011812575,0,0,1,0,0,1
0,1,141,41,1328,1334,1581624,1582055,377,377.6002066326791,0,0,0,0,1,1
0,1,143,45,46,202,621859,622494,6398,6398.687352320225,0,0,1,0,0,1
0,1,131,44,43,203,686041,686625,6378,6378.9621582414065,0,0,1,0,0,1
1,0,139,74,135,142,645880,645858,258,258.5853725477054,0,1,0,0,0,1
1,0,144,73,829,849,1564113,1565044,293,293.0142995882478,0,1,0,0,0,1
0,1,128,39,864,871,10624901,10624754,77,77.19400304634576,0,0,0,0,0,2
0,1,214,201,1156,1168,22402,23663,189,189.94412943106184,0,0,0,0,0,2
1,0,143,55,454,460,1009081,1010595,143,143.95548751988605,1,0,0,0,0,1
1,0,116,68,458,522,2871387,2872226,600,600.3835042510001,0,0,0,0,0,2
1,0,126,68,153,166,1989428,1990349,100,100.29227765135907,0,1,0,0,0,1
0,1,144,46,1238,1242,1668004,1666772,311,311.60607083238517,0,0,0,1,0,1
1,0,150,75,179,195,334545,333801,214,214.34080808292907,0,1,0,0,0,1
1,0,110,97,818,825,120747,120218,340,340.1844909967647,0,0,0,0,0,1
0,1,129,57,1204,1220,289760,289895,153,153.71132307623563,0,0,0,0,0,2
1,0,123,73,84,95,1335528,1334818,170,170.21563047970574,0,1,0,0,0,1
1,0,130,70,1255,1268,2860241,2859407,362,362.8044635068266,0,0,0,0,0,2
1,0,127,74,1032,1049,621475,620979,372,372.57974612378655,0,0,0,0,0,1
0,1,134,36,416,443,2887435,2887326,467,467.65032836084566,0,0,1,0,0,1
0,1,134,35,1253,1260,459556,458616,132,132.88269258350812,1,0,0,0,0,1
0,1,185,100,17,34,20460,21567,274,274.3425266449927,0,0,0,0,0,2
0,1,128,36,14,22,1270267,1270336,269,269.8126180038265,0,0,0,0,0,2
0,1,137,98,615,623,2189002,2188153,290,290.49559592707374,0,0,0,0,1,1
0,1,111,102,1266,1280,31256,32113,302,302.01946322487794,1,0,0,0,0,1
0,1,140,68,1055,1067,1314125,1315136,666,666.5007200821198,0,0,0,0,0,2
0,1,138,42,519,630,982516,981256,1035,1035.4377941681953,0,0,0,0,0,2
0,1,121,43,14,22,1133402,1132672,202,202.2811283244709,0,0,0,0,0,2
0,1,156,200,80,86,183368,183588,422,422.3757834759287,1,0,0,0,0,1
1,0,251,83,94,136,907404,907096,686,686.3985205510068,0,0,0,0,0,1
0,1,125,200,5,12,464915,463720,191,191.3385748579819,0,0,0,0,0,2
0,1,129,199,55,63,258922,259437,277,277.8926322750643,0,0,0,0,0,2
1,0,144,70,215,228,1761531,1761633,318,318.950319193566,0,1,0,0,0,1
1,0,118,103,910,919,1047538,1046205,173,173.34941341556353,0,0,0,0,0,2
1,0,107,69,0,15,677313,676440,968,968.9969287907662,0,1,0,0,0,1
0,1,162,36,1015,1037,3981374,3982548,271,271.695938881906,0,0,0,0,0,2
0,1,139,42,475,483,10439787,10441256,251,251.27093585989178,0,0,0,0,0,2
1,0,128,66,333,348,2076167,2076121,157,157.0286394249094,0,0,0,0,0,2
1,0,124,199,605,646,4440845,4441343,1104,1104.8391629794917,0,0,0,0,0,1
1,0,150,104,773,805,2240907,2241363,209,209.29401616074273,0,0,0,0,0,2
1,0,120,73,64,83,288045,288414,541,541.6094701258734,0,1,0,0,0,1
0,1,139,86,7,18,1137642,1136650,344,344.3641406223285,1,0,0,0,0,1
1,0,83,72,1685,1692,990762,990045,178,178.69417487856825,0,0,0,0,0,1
